분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,event_lat,event_lng,유무료,문화포털상세URL,최종_예상수익
전시/미술,강남구,K-핸드메이드페어 2025,2025-12-18~2025-12-21,서울 삼성동 코엑스 1층  B홀,기타,누구나,"사전 예매가: 8,000원, 현장 구매가: 10,000원",,,,https://k-handmade.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42afe00583eb4b0983dba37a04a41222&thumb=Y,2025-01-10,기관,2025-12-18 00:00:00.0,2025-12-21 00:00:00.0,기타,37.5118239121138,127.059159043842,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152033&menuNo=200009,520000
축제-문화/예술,금천구,2025 금천하모니축제,2025-10-18~2025-10-19,"금천구청광장, 안양천다목적광장, 금천구 전역",금천문화재단,누구나,,,,,https://www.instagram.com/geumcheon_harmony/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=520ec510b1db4ca6976e8f87402fd6d1&thumb=Y,2025-03-31,기관,2025-10-18 00:00:00.0,2025-10-19 00:00:00.0,기타,37.4570656519531,126.896036850324,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152953&menuNo=200010,4950000
축제-문화/예술,광진구,2025 서울라이트 한강 빛섬축제,2025-10-03~2025-10-12,뚝섬 한강공원,서울시청,누구나,,,,,https://bitseomfestival.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b13d2032bec441088ab18e1f0164eaa6&thumb=Y,2025-04-16,기관,2025-10-03 00:00:00.0,2025-10-12 00:00:00.0,기타,37.5293645718995,127.073978164616,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153245&menuNo=200010,625000
축제-문화/예술,광진구,[광진문화재단] 제4회 2025 나루 스트릿 댄스 페스티벌,2025-09-20~2025-09-20,나루아트센터 야외광장,광진문화재단,전체관람,,,,,https://www.naruart.or.kr/exhibition/program_view.php?page=1&sch_tab=date&sch_year=2025&sch_month=09&idx=10111,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3ab97a289ab44eba250ef33e4314175&thumb=Y,2025-04-02,기관,2025-09-20 00:00:00.0,2025-09-20 00:00:00.0,기타,37.5375706269359,127.070576040786,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152983&menuNo=200010,625000
전시/미술,강남구,2025 핸드아티코리아,2025-08-07~2025-08-10,코엑스전시장 C홀,기타,누구나,"일반 (2006년생 이상): 12,000 / 청소년 (2018 - 07년생): 6,000원",,,,https://handarty.co.kr/coex/exhibition/handartykorea/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39c8b53e2d9e4eac963dc0497f57afed&thumb=Y,2025-03-13,시민,2025-08-07 00:00:00.0,2025-08-10 00:00:00.0,기타,37.5118239121138,127.059159043842,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152682&menuNo=200009,520000
전시/미술,강남구,서울일러스트레이션페어 V.19,2025-07-24~2025-07-27,코엑스 C홀,기타,누구나,"성인: 15,000원 / 청소년 : 9,000원",,,,https://seoulillustrationfair.co.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d206651883046d382fdde994dc9313b&thumb=Y,2025-04-08,시민,2025-07-24 00:00:00.0,2025-07-27 00:00:00.0,기타,37.5118239121138,127.059159043842,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153085&menuNo=200009,520000
클래식,영등포구,[전문연주자시리즈] 강동엽 비올라 독주회,2025-06-30~2025-06-30,영산아트홀,기타,초등학생 이상 관람가,"전석 30,000원",,,,https://www.youngsanarthall.com/rb/?m=schedulearthall&front=view&no=9035&cate=1&year=2025&month=6,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3b83d9ecdfe4cc2bd7e516054800d8d&thumb=Y,2025-05-10,시민,2025-06-30 00:00:00.0,2025-06-30 00:00:00.0,기타,37.5292719570904,126.924892738645,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153510&menuNo=200008,4950000
독주/독창회,서대문구,정진우 바이올린 독주회 ,2025-06-29~2025-06-29,금호아트홀 연세 ,기타,미취학 입장 불가 ,"전석 20,000원 (학생 50%할인)","Vn. 정진우, Pf. 한지윤 ","W. A. Mozart Violin Sonata in C Major, k.303,   L. V. Beethoven Violin Sonata No.6 A Major, Op.30  -Intermission-  C. Schumann - 3 Romances for Violin and Piano, Op.22,  R. Schumann - Violin Sonata No.1 in a minor, op.105",,http://withclassic.kr/product/view.html?pid=13&cate1=94&cate2=97&no=419,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dee5cb007cd14a279d9f98906c04b2b5&thumb=Y,2025-04-24,시민,2025-06-29 00:00:00.0,2025-06-29 00:00:00.0,기타,37.5660508394158,126.943916239886,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153352&menuNo=200008,280000
클래식,종로구,카이로스 앙상블 제3회 정기연주회,2025-06-27~2025-06-27,세종문화회관 체임버홀 ,기타,초등학생 이상,"일반석 20,000원(학생 10,000원)","Profile Violin 김현경 ? 경기예고 재학중 도미 ? 미국 콜럼버스 주립대 음대 학사 졸업 ? 미국 펜실베니아 주립대 음대 석사 졸업 ? 일리노이 음대 박사 졸업 ? 학사, 석사, 박사 전액장학금 및 펜실베니아 주립대 음대 바이올린 티칭조교 역임 ? PSU Concerto Competition 우승 및 협연 ? Lois Pickard Music Competition 현악부문 1위 ? 금호아트홀 연세 귀국 독주회 및 독주회, 실내악 독주회, TIMF앙상블, 통영페스티벌오케스트라, 통영국제음악당, 영산아트홀, 예술의전당 등 다수의 연주 및 계원예중?고 실기강사 역임 ? 현재 : TIMF앙상블 객원단원, 카이로스 앙상블 멤버, 경기예고, 인천예고, 경기예고 영재원, 인천예고 영재원 출강  Viola 백창현 ? 선화예고 졸업 ? 미국 콜럼버스 주립대 음대 학사 졸업 ? 미국 린 음악대학 석사 졸업 ? 버클리음대 보스턴 음악원 전문연주자과정 재학 중 ? KMF 챔버 및 솔로공연, Carson McCullers Center 챔버공연, Armanick Goldenstein Hall 독주회 ? LaGrange Symphony Orchestra, 양주시향, 김포필하모닉오케스트라, 플래직 객원 ? 현재 : 카이로스 앙상블 멤버, 선화예중 출강  Cello 김혜진 ? 상명대학교 음악대학 학사 수석 졸업 ? 경희대학교 음악대학원 석사 졸업 ? Masters de Pontlevoy Diplom 졸업 ? The Ploiesti State Philharmonic Orchestra 협연 ? 중국환경부 초청 제1회 환경음악제 초청연주, 호주한인회 한국의 날 초청연주, 파키스탄 대사관 초청연주, 부암아트홀 영 아티스트 콘서트 ? Euro Asia Music Festival 참가, 의정부시 찾아가는 예술활동 연주자 ? 현재 : Trio 끌림(Klim) 단원, K 음악원 원장, 카이로스 앙상블 멤버  Piano 이경아 ? 선화예중?고 졸업 ? 숙명여자대학교 학사 실기 우등 졸업 ? 미국 맨하탄 음악대학 석사 졸업 ? 미국 펜실베니아 주립대 음대 박사 졸업(전액장학금) ? PSU Concerto Competition？우승 및 오케스트라 협연, Bulgaria Plovdiv State Philharmonic Orchestra？협연,？숙명여자대학교 음악대학 동문음악회 오케스트라 협연 ? New York Radio Korea？생방송 연주,？금호아트홀 귀국 독주회,？세종문화회관 독주회,？예술의전당 앙상블 연주회 등 다수의 독주회 및 연주회 ? 계원예중, 협성대, 숙명여자대학교 초빙대우교수 역임 ? 현재 : 한국피아노듀오협회,？선화소사이어티, SMCircle, Ensemble Penn, Manhattan Music Ensemble？멤버 및 카이로스 앙상블 대표, 국립 강릉 원주대학교, 선화예중?고 출강  Soprano 성재원 ? 한양대학교 성악과 졸업 ? 미국 맨하탄 음악대학교 대학원, 전문 연주자과정 졸업 ? 미국 하트포드 대학교 박사 수학 ? 현대오페라 Kindergarten, 작곡가 Sonheim대표 공연자로 뉴욕 Popcast출연 ? 오페라 ","카이로스 앙상블 카이로스 앙상블은 ‘하나님의 시간, 기회를 잡을 수 있는 한 순간’ 등 특별한 시간을 뜻하는 그리스어로 음악으로 특별한 시간을 선사하고, 즐거움과 감동을 나누기 위해 만들어진 단체이다. 기악과 성악으로 구성된 카이로스 앙상블은 국내와 미국에서 학업을 함께하며 시간을 보내온 음악인들로 구성되어 관객들에게 클래식 음악을 보다 쉽고 친밀하게 전달하기 위한 뜻을 가지고 2021년 창단연주회를 시작으로 매 해 정기연주회 뿐만 아니라 다양한 프로그램 구성으로 공연을 하고 있다.",,https://blog.naver.com/clara32/223841325435,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=562b643f372e4feba7e2767a51a90b4e&thumb=Y,2025-04-25,기관,2025-06-27 00:00:00.0,2025-06-27 00:00:00.0,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153391&menuNo=200008,270000
교육/체험,중랑구,[중랑구립정보도서관] 중랑 이음:인문학 6월 이낙준의사 [대한민국 의학의 역사],2025-06-27~2025-06-27,중랑구립정보도서관 4층 강당,중랑문화재단,서울시민 누구나,"5,000원",,,,https://www.jungnanglib.seoul.kr/jnlib/menu/10204/bbs/20005/bbsPostDetail.do?postIdx=158675,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e2bb7150407946f9ab2d96ee5af1306a&thumb=Y,2025-04-08,기관,2025-06-27 00:00:00.0,2025-06-27 00:00:00.0,기타,37.6151705656244,127.086906408215,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153089&menuNo=200011,1750000
